start	end	text
0	2000	Ok
2000	8000	Bây giờ anh sẽ giao cho anh thắng một cái test là dùng ô tìm kiếm trên web này
8000	14000	Gõ Macbook để tìm sản phẩm, mở trang chi tiết, chọn mua một cái rồi bỏ vào vỏ hàng nha
14000	18000	Rồi, nút hãy lắc nha
18000	20000	Rồi, anh hoàn thành rồi
20000	24000	Dạ, thì bây giờ em sẽ hỏi anh một số câu hỏi
24000	28000	Phần nào của giao diện làm anh thấy khó hiểu hoặc bối rối nhất?
28000	34000	Nhìn chung thì anh thấy giao diện tuy không được đẹp nhưng mà nói chung là dễ hiểu
34000	40000	Nếu lỡ theo test sai thì anh có biết cách quay lại hợp xử lỗi không?
40000	44000	Về phần này thì không, nó không có nút patch cho anh
44000	50000	Anh có cảm thấy hoàn thành nhiệm vụ nhanh và thuận tiện không?
50000	57000	Nói chung là cũng nhanh và thuận tiện á nhưng mà có một cái phần là cái nút số lượng này sao cái phần này nó bị ẩn như vậy?
57000	65000	Vậy anh có cảm thấy yên tâm khi nhập thông tin hoặc thực hiện thanh tán trên ứng dụng này không?
65000	69000	Anh cũng khá yên tâm
69000	71000	Dạ, ok, anh có mong
71000	73000	Hãy subscribe cho kênh La La School Để không bỏ lỡ những video hấp dẫn
73000	75000	Hãy subscribe cho kênh La La School Để không bỏ lỡ những video hấp dẫn
