start	end	text
0	10500	Ok, bây giờ mình sẽ giao cho bạn chiêu dương 1 cái test là dùng ô tìm kiếm trên web này gõ
10500	17160	tai nghe để tìm sản phẩm, mở trang chi tiết, chọn mua 2 cái rồi bỏ vào gió hèn nha.
17160	26760	Ok, giờ mình sẽ tiến hành làm tai nghe
26760	33760	Mình thấy các ta nghe Airpods, nên là mình sẽ bấm vô xem thử
33760	39760	Mua với số lượng 2 cái, mình sẽ thêm video
39760	54760	Ok, mình nghĩ là
54760	59760	Chắc là đã thêm vô được rồi mình sẽ kiểm tra gió hèn thử
59760	64760	Ok, mình đã hoàn thành xong
64760	68760	Ok, cảm ơn bạn
68760	77760	Thì bạn có thấy là cái web này nó có thao tác nhanh hay là chậm hơn bạn nghĩ không?
77760	80760	Và ở bước nào bạn thấy là nó lâu nhất?
80760	89760	Mình nghĩ là ở bước thêm vô giỏ hèn thì khi mà mình bấm vô cái mục thêm vô giỏ hèn á
89760	97760	Thì ở trên giao diện màn hình thì nó không có hiện cho mình biết là mình đã có thêm được vô giỏ hèn thành công chưa
97760	101760	Nên là điều đó nó làm mình khá là hoang mang với lại bối rối
101760	105760	Ngoài ra thì còn lại mình cảm thấy web ok
105760	106760	Ok, cảm ơn bạn
106760	111760	Hãy subscribe cho kênh lalaschool Để không bỏ lỡ những video hấp dẫn
