start	end	text
0	17320	Ok, bây giờ mình sẽ giao cho anh sang một cái test là dùng ô tìm kiếm trên web này, gõ keycrown để tìm sản phẩm, mở trang chi tiết, chọn mua một cái rồi bỏ vào Võ Hiền
17320	21600	Ok
21600	27900	Là do tôi làm cái đó hả bạn?
27900	29900	Đúng rồi
29900	37900	Ok, mình sẽ vào trang đây, mình nhập vào ô tìm kiếm là keycrown
37900	41900	Rồi mình bấm nút tìm
41900	47900	Ờ thì nó sẽ hiện ra một cái sản phẩm rồi mình sẽ bấm vào xem chi tiết ở đây
47900	51900	Nó sẽ ra như này
51900	53900	Mình sẽ bấm thêm vào dạo hàng
53900	55900	Ờ
55900	57900	Ờ
57900	59900	Ok
59900	61900	Nó đã bị bấm
61900	63900	Ủa
63900	65900	Gì vậy
65900	67900	Sao không có nào nữa
67900	71900	Sao không có thêm được bạn đâu rồi
71900	73900	Mình có thể thư lại
73900	75900	Ờ
75900	77900	Mình sẽ vô trang chủ
77900	81900	Mình bấm vào ô tìm kiếm, mình sẽ nhập keycrown
81900	83900	Rồi mình bấm nút tìm
83900	85900	Rồi bấm xem chi tiết
85900	87900	Mình bấm xem chi tiết
87900	89900	Mình bấm thêm vào dạo hàng
93900	97900	Mình bấm vào vào dạo hàng, nó không có cái gì hết
97900	99900	Mình bấm chưa đăng nhập ta
99900	105900	Rồi bà lại tôi không phải, có phải đăng nhập về bạn
105900	107900	Ờ
107900	109900	Không hả bạn
109900	111900	Mình nói lỗi rồi bạn à
111900	113900	Mình có thể thư lại lần nữa
113900	115900	Ok
115900	117900	Mình sẽ bấm vào nhập tìm kiếm
117900	119900	Và mình nhập keycrown
119900	121900	Bấm nút tìm
121900	123900	Bấm xem chi tiết
123900	125900	Rồi
125900	127900	Thế vào dạo hàng
127900	129900	Ờ
129900	131900	Mình
131900	133900	Nó vẫn không ra gì cả
133900	135900	Ờ
135900	137900	Ok
137900	139900	Vì bài test của bạn xong rồi
139900	141900	Thì bây giờ em sẽ hỏi anh một số câu hỏi là
141900	145900	Phần nào của giao diện làm anh thấy khó hiểu hoặc bối rối nha
149900	151900	Ừ
151900	155900	Mình nghĩ là phần thêm vào dạo hàng nó không có hiện
155900	161900	Một cái thông báo thành công hay thất bại nên rất khó để biết
161900	163900	Ok
163900	167900	Mà nếu mà lỡ theo thách sai thì anh có biết cách quay lại hoặc xử lỗi không?
169900	171900	Ừ
171900	175900	Mình nghĩ mình sẽ vào dạo hàng mình coi
175900	177900	Còn quay lại thì
177900	179900	Ok
179900	183900	Anh có cảm thấy hoàn thành nhiệm vụ nhanh và thuận tiện không vì sao?
183900	185900	Ừ
185900	187900	Mình thấy là
187900	189900	Khá nhanh và thuận tiện bởi vì chỉ cần vài click thôi
189900	191900	Ờ
191900	195900	Anh có cảm thấy yên tâm khi nhập thông tin hoặc thực hiện thanh toán trên ứng dụng này không?
195900	197900	Ờ
197900	199900	Ờ
199900	201900	Ờ
201900	203900	Làm như có cái thanh toán đâu
203900	205900	Ờ
205900	209900	Vậy là anh có tình cậy để sử dụng cái ứng dụng này không?
209900	210900	Ờ
210900	211900	Mình nghĩ là không
211900	213900	Đại vì
213900	215900	Nó
215900	217900	Chá là ít thông tin
217900	219900	Ok
219900	221900	Hãy subscribe cho kênh Ghiền Mì Gõ Để không bỏ lỡ những video hấp dẫn
221900	223900	Để không bỏ lỡ những video hấp dẫn
