start	end	text
0	13120	Ok, bây giờ em sẽ giao cho anh Phi một cái test là dùng ô tìm kiếm trên web này, gõ Galaxy để tìm sản phẩm, mở chiên chi tiết, chọn mua 3 cái rồi bỏ vào vỏ hàng
13120	19140	Ok, đầu tiên thì anh sẽ vô ô tìm kiếm, anh search sản phẩm là Galaxy
21280	22300	Sau đó anh tìm
22300	27220	Rồi, tiếp theo là anh sẽ bấm vào xem chi tiết của sản phẩm này
27220	30080	Và bấm thêm vào vỏ hàng
30080	35500	Rồi, hiện tại thì đã thấy là đã thêm
35500	42400	Rồi, anh quay lại trang Home ha
42400	45040	Anh thêm vào iPhone Pro Max
57220	69760	Rồi, tiếp theo là anh thêm Galaxy S 24, Intra
69760	74000	Rồi, thêm vào vỏ hàng
74000	82280	Rồi, anh đã hành công bài test rồi, sau đây em sẽ hỏi anh một số câu hỏi
82280	86720	Thì phần nào của giao diện làm anh thấy khó hiểu hoặc bối rối nhất?
86720	95000	Rồi, nhìn chung thì anh thấy giao diện này được không có phần nào là khó hiểu hoặc bối rối gì hết
95000	97440	Giao diện rất là trực quan
97440	101660	Mỗi cái item ở đây là có title rất là cụ thể
101660	106000	Giá cả rất là nổi lên để cho user có thể thấy
106000	111000	Nếu anh lỡ theo text size thì anh có biết quay lại hoặc là xử lỗi không?
111000	115540	Biết nha, ví dụ như là anh bấm vào thêm vào vỏ hàng
115540	125420	Thì nếu mà sai thì anh có thể thấy được là cái vỏ hàng nó được thiết kế ở đây
125420	127160	Như những cái trang tư mạng tử khác
127160	129000	Và anh vô đây anh có thể xóa
129000	135240	Và anh có cảm thấy là hoàn thành nhiệm vụ nhanh và phân tiện không?
135240	135800	Và vì sao?
135800	138480	Ờ, hoàn thành nhiệm vụ rất là nhanh nha
138480	143620	Bởi vì là UI thì cơ bản là rất là dễ hiểu, dễ sử dụng
143620	146560	Và cũng như những cái trang thương mạng tử khác
146560	151020	Cho nên là không có vấn đề gì khi sử dụng
151020	155500	Thì anh có cảm thấy yên tâm khi nhập thông tin hoặc thực hiện thanh toán trên ứng dụng không?
155920	156800	Ờ, anh yên tâm nha
156800	158480	Dạ, anh kêu ngươn anh
158480	188460	Hãy subscribe cho kênh Ghiền Mì Gõ Để không bỏ lỡ những video hấp dẫn
