start	end	text
0	16000	Ok, bây giờ mình sẽ gieo cho bạn Nguyễn Thanh Đẹp một cái task là dùng ô tìm kiếm trên web này, gõ chữ Galaxy mà phải là các blog hết để tìm sản phẩm, mở trang chi tiết, chọn mua một cái, rồi bỏ về giỏ hàng nha.
16000	26000	Ok, giờ mình sẽ bắt đầu thao tác. Bắt đầu mình sẽ bấm chữ Galaxy, bấm kiếm kiếm.
26000	30000	Ở đây mình thấy có một cái sản phẩm.
30000	33000	Em phải giọt hẹn một cái.
33000	46000	Đã thêm chưa ta?
46000	56000	Hình như là nó bị vấn đề gì rồi.
56000	61000	Cái thể kiểm tra là giúp mình với, hình như cái bé nó bị đó mà mình bấm vô thêm không có được.
61000	68000	Nó cứ thêm một giọt hẹn xuống để mình bấm vô vô hẹn, coi thử.
68000	75000	Hình như là mình bấm thêm vô nhiều quá rồi.
75000	77000	Ừm.
77000	79000	Ok, vậy được rồi nha. Mình cảm ơn bạn.
79000	81000	Ok.
81000	92000	Thì lúc nãy ở chỗ bạn bấm những cái nút thêm giỏ hàng thì mình thấy bạn hơi phần lạ.
92000	94000	Thì khúc đó bạn đang nghĩ gì vậy?
94000	99000	Mình nghĩ cái quét nó bị một vấn đề gì đó.
99000	101000	Chỉ giống cái quét bị lỗi.
101000	106000	Thì lúc đó mình kiểu mình không có biết là đã thêm vô bao nhiêu món rồi.
106000	108000	Kiểu mình...
108000	110000	Kiểu mình bị khừng hay khúc đó.
110000	113000	Thì mình không biết là mình có đã thêm vô hay chưa.
113000	115000	Ok, cảm ơn bạn.
115000	116000	Ok.
116000	117000	Ok.
